"","celltype"
"cell_43478","ExE ectoderm"
"cell_43479","Mesenchyme"
"cell_43480","ExE endoderm"
"cell_43481","Rostral neurectoderm"
"cell_43482","ExE endoderm"
"cell_43483","Visceral endoderm"
"cell_43484","Mesenchyme"
"cell_43485","ExE endoderm"
"cell_43486","ExE endoderm"
"cell_43487","Haematoendothelial progenitors"
"cell_43488","Visceral endoderm"
"cell_43489","Haematoendothelial progenitors"
"cell_43490","Rostral neurectoderm"
"cell_43491","Haematoendothelial progenitors"
"cell_43492","ExE endoderm"
"cell_43493","Nascent mesoderm"
"cell_43494","ExE endoderm"
"cell_43495","Primitive Streak"
"cell_43496","Haematoendothelial progenitors"
"cell_43497","Mesenchyme"
"cell_43498","Nascent mesoderm"
"cell_43499","ExE endoderm"
"cell_43500",NA
"cell_43501","Blood progenitors 1"
"cell_43502","ExE endoderm"
"cell_43503","Surface ectoderm"
"cell_43504","Rostral neurectoderm"
"cell_43505","Primitive Streak"
"cell_43506","Def. endoderm"
"cell_43507","Mesenchyme"
"cell_43508","Mixed mesoderm"
"cell_43509","Mesenchyme"
"cell_43510","ExE endoderm"
"cell_43511","ExE ectoderm"
"cell_43512","Rostral neurectoderm"
"cell_43513",NA
"cell_43514","ExE endoderm"
"cell_43515","Notochord"
"cell_43516","ExE ectoderm"
"cell_43517","Caudal epiblast"
"cell_43518","ExE endoderm"
"cell_43519","Somitic mesoderm"
"cell_43520","Blood progenitors 2"
"cell_43521","ExE ectoderm"
"cell_43522","Gut"
"cell_43523","Blood progenitors 2"
"cell_43524","Caudal epiblast"
"cell_43525","Mixed mesoderm"
"cell_43526","Anterior Primitive Streak"
"cell_43527","Rostral neurectoderm"
"cell_43528","ExE endoderm"
"cell_43529","ExE ectoderm"
"cell_43530","Rostral neurectoderm"
"cell_43531","Paraxial mesoderm"
"cell_43532","Epiblast"
"cell_43533","Rostral neurectoderm"
"cell_43534","ExE endoderm"
"cell_43535","Def. endoderm"
"cell_43536","PGC"
"cell_43537",NA
"cell_43538","Blood progenitors 2"
"cell_43539","Nascent mesoderm"
"cell_43540","ExE ectoderm"
"cell_43541","ExE endoderm"
"cell_43542",NA
"cell_43543","Mesenchyme"
"cell_43544","Surface ectoderm"
"cell_43545","Mesenchyme"
"cell_43546","ExE ectoderm"
"cell_43547","Caudal epiblast"
"cell_43548","Mesenchyme"
"cell_43549","ExE ectoderm"
"cell_43550","ExE ectoderm"
"cell_43551","Rostral neurectoderm"
"cell_43552","Mixed mesoderm"
"cell_43553",NA
"cell_43554","Nascent mesoderm"
"cell_43555","ExE ectoderm"
"cell_43556","Rostral neurectoderm"
"cell_43557",NA
"cell_43558","Epiblast"
"cell_43559","Nascent mesoderm"
"cell_43560","ExE endoderm"
"cell_43561","ExE ectoderm"
"cell_43562","Primitive Streak"
"cell_43563","Caudal neurectoderm"
"cell_43564",NA
"cell_43565",NA
"cell_43566","Epiblast"
"cell_43567","Blood progenitors 1"
"cell_43568",NA
"cell_43569","Blood progenitors 2"
"cell_43570","Nascent mesoderm"
"cell_43571","Mesenchyme"
"cell_43572","Caudal neurectoderm"
"cell_43573","Rostral neurectoderm"
"cell_43574","ExE ectoderm"
"cell_43575","ExE ectoderm"
"cell_43576","Rostral neurectoderm"
"cell_43577","Nascent mesoderm"
"cell_43578","ExE endoderm"
"cell_43579","ExE endoderm"
"cell_43580",NA
"cell_43581","Pharyngeal mesoderm"
"cell_43582","Def. endoderm"
"cell_43583","ExE ectoderm"
"cell_43584","Haematoendothelial progenitors"
"cell_43585","ExE endoderm"
"cell_43586",NA
"cell_43587",NA
"cell_43588","ExE endoderm"
"cell_43589","ExE ectoderm"
"cell_43590","ExE endoderm"
"cell_43591","ExE ectoderm"
"cell_43592","ExE endoderm"
"cell_43593","ExE endoderm"
"cell_43594","ExE endoderm"
"cell_43595",NA
"cell_43596","Caudal epiblast"
"cell_43597",NA
"cell_43598","Haematoendothelial progenitors"
"cell_43599","Rostral neurectoderm"
"cell_43600","Mesenchyme"
"cell_43601",NA
"cell_43602","Mesenchyme"
"cell_43603","Blood progenitors 1"
"cell_43604","Rostral neurectoderm"
"cell_43605","Caudal epiblast"
"cell_43606","ExE ectoderm"
"cell_43607","ExE endoderm"
"cell_43608","ExE endoderm"
"cell_43609","ExE ectoderm"
"cell_43610","Nascent mesoderm"
"cell_43611","Nascent mesoderm"
"cell_43612","Primitive Streak"
"cell_43613","ExE ectoderm"
"cell_43614","Somitic mesoderm"
"cell_43615","Blood progenitors 2"
