"","ENSEMBL","SYMBOL"
"ENSMUSG00000051951","ENSMUSG00000051951","Xkr4"
"ENSMUSG00000089699","ENSMUSG00000089699","Gm1992"
"ENSMUSG00000102343","ENSMUSG00000102343","Gm37381"
"ENSMUSG00000025900","ENSMUSG00000025900","Rp1"
"ENSMUSG00000025902","ENSMUSG00000025902","Sox17"
"ENSMUSG00000104328","ENSMUSG00000104328","Gm37323"
"ENSMUSG00000033845","ENSMUSG00000033845","Mrpl15"
"ENSMUSG00000025903","ENSMUSG00000025903","Lypla1"
"ENSMUSG00000104217","ENSMUSG00000104217","Gm37988"
"ENSMUSG00000033813","ENSMUSG00000033813","Tcea1"
"ENSMUSG00000002459","ENSMUSG00000002459","Rgs20"
"ENSMUSG00000085623","ENSMUSG00000085623","Gm16041"
"ENSMUSG00000033793","ENSMUSG00000033793","Atp6v1h"
"ENSMUSG00000025905","ENSMUSG00000025905","Oprk1"
"ENSMUSG00000033774","ENSMUSG00000033774","Npbwr1"
"ENSMUSG00000025907","ENSMUSG00000025907","Rb1cc1"
"ENSMUSG00000090031","ENSMUSG00000090031","4732440D04Rik"
"ENSMUSG00000087247","ENSMUSG00000087247","Fam150a"
"ENSMUSG00000033740","ENSMUSG00000033740","St18"
"ENSMUSG00000051285","ENSMUSG00000051285","Pcmtd1"
"ENSMUSG00000097797","ENSMUSG00000097797","Gm26901"
"ENSMUSG00000103067","ENSMUSG00000103067","Gm30414"
"ENSMUSG00000025909","ENSMUSG00000025909","Sntg1"
"ENSMUSG00000061024","ENSMUSG00000061024","Rrs1"
"ENSMUSG00000025911","ENSMUSG00000025911","Adhfe1"
"ENSMUSG00000067879","ENSMUSG00000067879","3110035E14Rik"
"ENSMUSG00000099827","ENSMUSG00000099827","Gm29520"
"ENSMUSG00000025912","ENSMUSG00000025912","Mybl1"
"ENSMUSG00000045210","ENSMUSG00000045210","Vcpip1"
"ENSMUSG00000097893","ENSMUSG00000097893","1700034P13Rik"
"ENSMUSG00000025915","ENSMUSG00000025915","Sgk3"
"ENSMUSG00000046101","ENSMUSG00000046101","Mcmdc2"
"ENSMUSG00000098234","ENSMUSG00000098234","Snhg6"
"ENSMUSG00000099032","ENSMUSG00000099032","Tcf24"
"ENSMUSG00000025916","ENSMUSG00000025916","Ppp1r42"
"ENSMUSG00000087199","ENSMUSG00000087199","Gm15818"
"ENSMUSG00000025917","ENSMUSG00000025917","Cops5"
"ENSMUSG00000056763","ENSMUSG00000056763","Cspp1"
"ENSMUSG00000067851","ENSMUSG00000067851","Arfgef1"
"ENSMUSG00000042501","ENSMUSG00000042501","Cpa6"
"ENSMUSG00000048960","ENSMUSG00000048960","Prex2"
"ENSMUSG00000057715","ENSMUSG00000057715","A830018L16Rik"
"ENSMUSG00000097171","ENSMUSG00000097171","Gm17644"
"ENSMUSG00000101314","ENSMUSG00000101314","Gm29663"
"ENSMUSG00000016918","ENSMUSG00000016918","Sulf1"
"ENSMUSG00000025938","ENSMUSG00000025938","Slco5a1"
"ENSMUSG00000099498","ENSMUSG00000099498","Gm29283"
